2.39E-06,3.21E-06,4.27E-06,5.63E-06,7.33E-06,9.46E-06,1.21E-05,1.53E-05,1.92E-05,2.37E-05,2.92E-05,3.54E-05,4.26E-05,5.08E-05,5.99E-05,6.99E-05,8.08E-05,9.25E-05,0.000104843,0.00011762,0.000130642,0.000143662,0.000156407,0.000168589,0.000179911,0.000190083,0.000198833,0.000205915,0.000211128,0.000214319,0.000215393,0.000214319,0.000211128,0.000205915,0.000198833,0.000190083,0.000179911,0.000168589,0.000156407,0.000143662,0.000130642,0.00011762,0.000104843,9.25E-05,8.08E-05,6.99E-05,5.99E-05,5.08E-05,4.26E-05,3.54E-05,2.92E-05,2.37E-05,1.92E-05,1.53E-05,1.21E-05,9.46E-06,7.33E-06,5.63E-06,4.27E-06,3.21E-06,2.39E-06
2.91E-06,3.91E-06,5.19E-06,6.84E-06,8.91E-06,1.15E-05,1.47E-05,1.86E-05,2.33E-05,2.89E-05,3.54E-05,4.31E-05,5.18E-05,6.17E-05,7.28E-05,8.50E-05,9.82E-05,0.000112445,0.000127417,0.000142945,0.000158771,0.000174594,0.000190083,0.000204888,0.000218648,0.000231011,0.000241643,0.000250251,0.000256586,0.000260464,0.000261769,0.000260464,0.000256586,0.000250251,0.000241643,0.000231011,0.000218648,0.000204888,0.000190083,0.000174594,0.000158771,0.000142945,0.000127417,0.000112445,9.82E-05,8.50E-05,7.28E-05,6.17E-05,5.18E-05,4.31E-05,3.54E-05,2.89E-05,2.33E-05,1.86E-05,1.47E-05,1.15E-05,8.91E-06,6.84E-06,5.19E-06,3.91E-06,2.91E-06
3.50E-06,4.70E-06,6.25E-06,8.23E-06,1.07E-05,1.38E-05,1.77E-05,2.24E-05,2.80E-05,3.47E-05,4.26E-05,5.18E-05,6.23E-05,7.43E-05,8.76E-05,0.000102254,0.00011821,0.000135296,0.00015331,0.000171995,0.000191036,0.000210075,0.000228712,0.000246525,0.000263081,0.000277956,0.00029075,0.000301106,0.000308729,0.000313395,0.000314966,0.000313395,0.000308729,0.000301106,0.00029075,0.000277956,0.000263081,0.000246525,0.000228712,0.000210075,0.000191036,0.000171995,0.00015331,0.000135296,0.00011821,0.000102254,8.76E-05,7.43E-05,6.23E-05,5.18E-05,4.26E-05,3.47E-05,2.80E-05,2.24E-05,1.77E-05,1.38E-05,1.07E-05,8.23E-06,6.25E-06,4.70E-06,3.50E-06
4.17E-06,5.60E-06,7.44E-06,9.80E-06,1.28E-05,1.65E-05,2.11E-05,2.66E-05,3.34E-05,4.14E-05,5.08E-05,6.17E-05,7.43E-05,8.85E-05,0.00010432,0.00012181,0.000140817,0.000161171,0.00018263,0.000204888,0.000227571,0.000250251,0.000272452,0.000293672,0.000313395,0.000331114,0.000346355,0.000358692,0.000367772,0.00037333,0.000375202,0.00037333,0.000367772,0.000358692,0.000346355,0.000331114,0.000313395,0.000293672,0.000272452,0.000250251,0.000227571,0.000204888,0.00018263,0.000161171,0.000140817,0.00012181,0.00010432,8.85E-05,7.43E-05,6.17E-05,5.08E-05,4.14E-05,3.34E-05,2.66E-05,2.11E-05,1.65E-05,1.28E-05,9.80E-06,7.44E-06,5.60E-06,4.17E-06
4.92E-06,6.60E-06,8.78E-06,1.16E-05,1.51E-05,1.94E-05,2.48E-05,3.14E-05,3.93E-05,4.88E-05,5.99E-05,7.28E-05,8.76E-05,0.00010432,0.000123034,0.000143662,0.000166079,0.000190083,0.000215393,0.000241643,0.000268396,0.000295144,0.000321328,0.000346355,0.000369616,0.000390514,0.000408488,0.000423039,0.000433748,0.000440303,0.00044251,0.000440303,0.000433748,0.000423039,0.000408488,0.000390514,0.000369616,0.000346355,0.000321328,0.000295144,0.000268396,0.000241643,0.000215393,0.000190083,0.000166079,0.000143662,0.000123034,0.00010432,8.76E-05,7.28E-05,5.99E-05,4.88E-05,3.93E-05,3.14E-05,2.48E-05,1.94E-05,1.51E-05,1.16E-05,8.78E-06,6.60E-06,4.92E-06
5.74E-06,7.71E-06,1.03E-05,1.35E-05,1.76E-05,2.27E-05,2.90E-05,3.67E-05,4.59E-05,5.70E-05,6.99E-05,8.50E-05,0.000102254,0.00012181,0.000143662,0.000167748,0.000193923,0.000221952,0.000251505,0.000282157,0.000313395,0.000344627,0.000375202,0.000404424,0.000431584,0.000455987,0.000476975,0.000493964,0.000506469,0.000514123,0.0005167,0.000514123,0.000506469,0.000493964,0.000476975,0.000455987,0.000431584,0.000404424,0.000375202,0.000344627,0.000313395,0.000282157,0.000251505,0.000221952,0.000193923,0.000167748,0.000143662,0.00012181,0.000102254,8.50E-05,6.99E-05,5.70E-05,4.59E-05,3.67E-05,2.90E-05,2.27E-05,1.76E-05,1.35E-05,1.03E-05,7.71E-06,5.74E-06
6.64E-06,8.91E-06,1.19E-05,1.56E-05,2.03E-05,2.62E-05,3.35E-05,4.24E-05,5.31E-05,6.59E-05,8.08E-05,9.82E-05,0.00011821,0.000140817,0.000166079,0.000193923,0.000224183,0.000256586,0.00029075,0.000326185,0.000362297,0.000398403,0.000433748,0.00046753,0.000498929,0.000527138,0.000551402,0.000571042,0.000585498,0.000594347,0.000597326,0.000594347,0.000585498,0.000571042,0.000551402,0.000527138,0.000498929,0.00046753,0.000433748,0.000398403,0.000362297,0.000326185,0.00029075,0.000256586,0.000224183,0.000193923,0.000166079,0.000140817,0.00011821,9.82E-05,8.08E-05,6.59E-05,5.31E-05,4.24E-05,3.35E-05,2.62E-05,2.03E-05,1.56E-05,1.19E-05,8.91E-06,6.64E-06
7.59E-06,1.02E-05,1.36E-05,1.79E-05,2.33E-05,3.00E-05,3.84E-05,4.85E-05,6.08E-05,7.54E-05,9.25E-05,0.000112445,0.000135296,0.000161171,0.000190083,0.000221952,0.000256586,0.000293672,0.000332774,0.00037333,0.000414662,0.000455987,0.00049644,0.000535105,0.000571042,0.000603329,0.000631099,0.000653579,0.000670124,0.000680252,0.000683662,0.000680252,0.000670124,0.000653579,0.000631099,0.000603329,0.000571042,0.000535105,0.00049644,0.000455987,0.000414662,0.00037333,0.000332774,0.000293672,0.000256586,0.000221952,0.000190083,0.000161171,0.000135296,0.000112445,9.25E-05,7.54E-05,6.08E-05,4.85E-05,3.84E-05,3.00E-05,2.33E-05,1.79E-05,1.36E-05,1.02E-05,7.59E-06
8.61E-06,1.16E-05,1.54E-05,2.02E-05,2.64E-05,3.40E-05,4.35E-05,5.50E-05,6.89E-05,8.54E-05,0.000104843,0.000127417,0.00015331,0.00018263,0.000215393,0.000251505,0.00029075,0.000332774,0.000377082,0.000423039,0.000469873,0.0005167,0.000562541,0.000606354,0.000647076,0.000683662,0.000715129,0.000740602,0.00075935,0.000770826,0.00077469,0.000770826,0.00075935,0.000740602,0.000715129,0.000683662,0.000647076,0.000606354,0.000562541,0.0005167,0.000469873,0.000423039,0.000377082,0.000332774,0.00029075,0.000251505,0.000215393,0.00018263,0.00015331,0.000127417,0.000104843,8.54E-05,6.89E-05,5.50E-05,4.35E-05,3.40E-05,2.64E-05,2.02E-05,1.54E-05,1.16E-05,8.61E-06
9.65E-06,1.30E-05,1.72E-05,2.27E-05,2.96E-05,3.82E-05,4.88E-05,6.17E-05,7.73E-05,9.58E-05,0.00011762,0.000142945,0.000171995,0.000204888,0.000241643,0.000282157,0.000326185,0.00037333,0.000423039,0.000474596,0.000527138,0.000579673,0.000631099,0.000680252,0.000725937,0.000766982,0.000802285,0.000830862,0.000851895,0.00086477,0.000869104,0.00086477,0.000851895,0.000830862,0.000802285,0.000766982,0.000725937,0.000680252,0.000631099,0.000579673,0.000527138,0.000474596,0.000423039,0.00037333,0.000326185,0.000282157,0.000241643,0.000204888,0.000171995,0.000142945,0.00011762,9.58E-05,7.73E-05,6.17E-05,4.88E-05,3.82E-05,2.96E-05,2.27E-05,1.72E-05,1.30E-05,9.65E-06
